,Rowid,Timestamp,Anonymized Vehicle number,Vehicle type	,Number of axles,Tollplaza id,Tollplaza code	,,,,,,,,,,,,,,Type of Payment code,Vehicle Code
0,1,Thu Aug 19 21:54:38 2021,125094,car	0,2,4856,PC7C042B7	,,,,,1,Thu,Aug,19,21:54:38,2021,125094.0,,,PTE,VC965
1,2,Sat Jul 31 04:09:44 2021,174434,car	1,2,4154,PC2C2EF9E	,,,,,2,Sat,Jul,31,04:09:44,2021,174434.0,,,PTP,VC965
2,3,Sat Aug 14 17:19:04 2021,8538286,car	2,2,4070,PCEECA8B2	,,,,,3,Sat,Aug,14,17:19:04,2021,8538286.0,,,VC965,
3,4,Mon Aug  2 18:23:45 2021,5521221,car	3,2,4095,PC3E1512A	,,,,,4,Mon,Aug,,2,18:23:45,2021.0,5521221.0,,PTP,VC965
4,5,Thu Jul 29 22:44:20 2021,3267767,car	4,2,4135,PCC943ECD	,,,,,5,Thu,Jul,29,22:44:20,2021,3267767.0,,,VC965,
5,6,Sat Aug 14 03:57:47 2021,8411850,car	5,2,4680,PCC422F4D	,,,,,6,Sat,Aug,14,03:57:47,2021,8411850.0,,,VC965,
6,7,Thu Aug 12 03:41:22 2021,6064250,car	6,2,4702,PCDBC3AC9	,,,,,7,Thu,Aug,12,03:41:22,2021,6064250.0,,,VC965,
7,8,Sun Aug 22 10:29:58 2021,6871937,van	7,2,4592,PC627AA14	,,,,,8,Sun,Aug,22,10:29:58,2021,6871937.0,,,VCD2F,
8,9,Fri Aug  6 14:23:08 2021,2055930,car	8,2,4100,PCC6DD8D5	,,,,,9,Fri,Aug,,6,14:23:08,2021.0,2055930.0,,PTP,VC965
9,10,Sun Aug 15 13:43:51 2021,8775910,car	9,2,4143,PC5F47DCF	,,,,10,Sun,Aug,15,13:43:51,2021,8775910,,,,,
10,11,Wed Aug  4 15:52:13 2021,4525747,car	10,2,4466,PC6E93A05	,,,,11,Wed,Aug,,4,15:52:13,2021,4525747.0,,,VC965,
11,12,Wed Aug 18 02:22:15 2021,5276143,van	11,2,4352,PC99B9343	,,,,12,Wed,Aug,18,02:22:15,2021,5276143,,,,,
